File,Polarity,Subjectivity,year
183-Attend.txt,0.088939394,0.621666667,2021
184-Attend.txt,-0.1,0.4,2021
186-Attend.txt,-0.3,0.333333333,2022
187-Attend.txt,0.1125,0.391666667,2019
188-Attend.txt,-0.026666667,0.68,2022
189-Attend.txt,-0.008333333,0.682142857,2021
190-Attend.txt,-0.05,0.238461538,2020
191-Attend.txt,-0.05,0.238461538,2021
193-Attend.txt,0.0625,0.4375,2022
194-Attend.txt,-0.030357143,0.518131868,2019
195-Attend.txt,0.195833333,0.5,2009
200-Attend.txt,0.1,0.3625,2022
203-Attend.txt,0.01,0.535,2022
205-Attend.txt,0.316666667,0.641666667,2022
212-Attend.txt,0.4,1,2021
213-Attend.txt,-0.0609375,0.334375,2021
222-Attend.txt,0.125,0.3375,2020
223-Attend.txt,-0.05,0.2,2021
225-Attend.txt,0.04375,0.095833333,2021
227-Attend.txt,0.3,0.775,2017
228-Attend.txt,-0.045,0.405,2019
229-Attend.txt,0.155357143,0.421428571,2018
230-Attend.txt,0.3,0.538461538,2012
231-Attend.txt,-0.028125,0.2625,2010
233-Attend.txt,0.122222222,0.583333333,2018
236-Attend.txt,0.344444444,0.761111111,2014
237-Attend.txt,0.1,0.333333333,2017
238-Attend.txt,0.097916667,0.408333333,2019
239-Attend.txt,0.120625,0.598400997,2020
240-Attend.txt,0.1,0.366666667,2011
241-Attend.txt,-0.031666667,0.178333333,2013
242-Attend.txt,0.067,0.343,2012
243-Attend.txt,0.1575,0.44,2018
244-Attend.txt,0.111904762,0.419047619,2018
245-Attend.txt,0.229545455,0.510183566,2018
246-Attend.txt,0.244050802,0.568027561,2017
247-Attend.txt,-0.034210526,0.236842105,2011
248-Attend.txt,0.20625,0.420833333,2018
249-Attend.txt,0.1,0.494230769,2011
250-Attend.txt,0.164583333,0.4625,2022
251-Attend.txt,0.164583333,0.4625,2022
252-Attend.txt,-0.078125,0.5125,2021
253-Attend.txt,-0.1,0.4,2021
255-Attend.txt,0,0,2018
256-Attend.txt,0.058333333,0.3125,2022
