Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
11-Attend.txt,1,23,34.72,99,4.38,20.23,23,30.43,82.61,52.17,43.48,13.04,13.04,0,0,13.04,0,0,0,8.7,0,0,8.7,8.7,0,8.7,0,17.39,0,4.35,0,0,0,0,17.39,4.35,13.04,4.35,4.35,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,17.39,4.35,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,21.74,0,0,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,4.35,8.7,4.35,0,0,0,0,0,21.74,4.35,13.04,0,0,0,4.35,0
110-Attend.txt,1,48,13.27,52.49,54.55,99,24,31.25,87.5,72.92,56.25,8.33,6.25,0,0,6.25,0,0,2.08,10.42,4.17,0,10.42,14.58,6.25,12.5,4.17,20.83,10.42,0,4.17,2.08,2.08,0,18.75,2.08,16.67,2.08,4.17,0,6.25,0,8.33,0,8.33,8.33,0,2.08,0,0,0,0,0,0,14.58,6.25,2.08,0,0,0,0,8.33,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,2.08,0,0,2.08,6.25,0,0,6.25,0,0,0,2.08,6.25,4.17,4.17,0,0,0,0,0,8.33,4.17,2.08,0,0,0,2.08,0
112-Attend.txt,1,73,73.65,32.36,21.11,7.77,24.33,35.62,83.56,58.9,49.32,2.74,0,0,0,0,0,0,2.74,6.85,4.11,0,16.44,15.07,2.74,6.85,1.37,17.81,8.22,0,1.37,0,0,1.37,4.11,0,4.11,1.37,1.37,0,0,0,1.37,0,4.11,1.37,2.74,1.37,0,0,0,0,0,0,2.74,1.37,1.37,0,0,0,0,1.37,0,0,0,0,0,0,0,0,12.33,0,0,12.33,0,0,4.11,4.11,2.74,0,0,0,0,0,0,2.74,0,1.37,0,1.37,0,0,1.37,1.37,0,10.96,1.37,0,8.22,1.37,0,0,2.74,4.11,2.74,5.48,0,0,0,0,0,10.96,4.11,1.37,0,0,0,5.48,0
115-Attend.txt,1,98,86.45,46.09,24.32,34.6,14,22.45,84.69,62.24,50,2.04,2.04,0,0,2.04,0,0,0,11.22,7.14,0,16.33,9.18,3.06,9.18,2.04,17.35,3.06,5.1,0,0,0,0,10.2,4.08,6.12,0,2.04,1.02,0,0,3.06,0,1.02,1.02,0,1.02,1.02,0,0,0,0,0,9.18,4.08,1.02,2.04,0,0,2.04,4.08,0,0,0,0,4.08,0,0,4.08,11.22,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,1.02,0,4.08,6.12,0,4.08,3.06,0,0,0,5.1,2.04,3.06,3.06,0,0,0,0,0,12.24,7.14,2.04,0,0,0,3.06,0
116-Attend.txt,1,65,93.16,98.04,9.12,20.23,16.25,29.23,83.08,58.46,46.15,7.69,6.15,0,0,6.15,0,0,1.54,15.38,9.23,4.62,13.85,7.69,0,4.62,0,16.92,3.08,3.08,1.54,0,1.54,0,6.15,0,6.15,0,1.54,0,4.62,0,1.54,0,0,0,0,0,0,0,0,0,0,0,18.46,6.15,0,0,0,0,3.08,10.77,0,1.54,0,0,0,0,0,0,18.46,0,0,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,1.54,4.62,0,3.08,1.54,0,0,0,4.62,6.15,4.62,1.54,0,0,0,0,0,21.54,6.15,1.54,0,0,1.54,12.31,0
12-Attend.txt,1,108,83.52,56.63,52.89,20.23,21.6,24.07,90.74,60.19,49.07,5.56,3.7,0,0.93,2.78,0,0,1.85,10.19,7.41,4.63,14.81,9.26,1.85,7.41,1.85,15.74,4.63,2.78,5.56,1.85,1.85,2.78,14.81,0,14.81,2.78,5.56,1.85,4.63,0,4.63,0,0,0,0,0,0,0,0,0,0,0,11.11,3.7,0,0,0,0,0.93,5.56,0,0,0,0,0.93,0,0,0.93,13.89,0,0,12.96,0.93,0,0,0,0,0,0,0,0,0,0,4.63,0,0.93,0.93,0.93,0,0.93,0,0,3.7,10.19,0,3.7,6.48,0,0,0,2.78,4.63,2.78,3.7,0,0,0,0,0,13.89,4.63,6.48,0,0,0,2.78,0
120-Attend.txt,1,36,95.3,40.06,22.12,20.23,18,27.78,88.89,69.44,52.78,8.33,2.78,0,2.78,0,0,0,5.56,16.67,2.78,0,22.22,8.33,0,2.78,0,22.22,8.33,5.56,2.78,2.78,0,0,19.44,2.78,16.67,0,2.78,5.56,2.78,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,2.78,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,2.78,2.78,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,8.33,5.56,0,0,5.56,0,0,0,5.56,5.56,0,2.78,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0
121-Attend.txt,1,36,95.3,40.06,22.12,20.23,18,27.78,88.89,69.44,52.78,8.33,2.78,0,2.78,0,0,0,5.56,16.67,2.78,0,22.22,8.33,0,2.78,0,22.22,8.33,5.56,2.78,2.78,0,0,19.44,2.78,16.67,0,2.78,5.56,2.78,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,2.78,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,2.78,2.78,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,8.33,5.56,0,0,5.56,0,0,0,5.56,5.56,0,2.78,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0
122-Attend.txt,1,71,82.52,32.16,31.69,20.23,17.75,42.25,90.14,60.56,46.48,4.23,0,0,0,0,0,0,4.23,18.31,11.27,0,8.45,8.45,0,9.86,1.41,15.49,5.63,7.04,1.41,0,0,1.41,18.31,4.23,14.08,4.23,1.41,0,7.04,0,5.63,0,0,0,0,0,0,0,0,0,0,0,12.68,7.04,0,1.41,0,1.41,2.82,5.63,0,0,0,0,0,0,0,0,8.45,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,2.82,1.41,0,0,0,0,2.82,0,0,0,0,0,0,0,5.63,4.23,4.23,4.23,0,0,0,0,0,9.86,5.63,4.23,0,0,0,0,0
124-Attend.txt,1,19,22.98,14.81,1,20.23,9.5,31.58,73.68,63.16,52.63,5.26,5.26,0,0,5.26,0,0,0,0,0,0,15.79,21.05,5.26,5.26,5.26,26.32,0,5.26,5.26,0,5.26,0,21.05,0,21.05,0,0,10.53,0,10.53,10.53,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,10.53,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,5.26,0,0,0,15.79,10.53,0,5.26,0,0,0,0,5.26,0,5.26,0,0,0,0,0,15.79,5.26,0,0,0,0,10.53,0
125-Attend.txt,1,88,65.33,40.06,3.28,20.23,14.67,26.14,81.82,55.68,47.73,6.82,3.41,0,0,3.41,0,0,3.41,14.77,6.82,2.27,10.23,14.77,2.27,2.27,2.27,19.32,2.27,5.68,4.55,1.14,0,3.41,15.91,1.14,13.64,2.27,2.27,2.27,1.14,2.27,5.68,0,0,0,0,0,0,0,0,0,0,0,18.18,13.64,1.14,0,0,0,7.95,4.55,0,0,0,0,1.14,0,0,1.14,5.68,1.14,0,4.55,0,0,1.14,1.14,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,1.14,2.27,4.55,0,0,2.27,2.27,0,0,0,4.55,2.27,5.68,0,0,0,0,0,22.73,9.09,5.68,0,0,1.14,6.82,0
126-Attend.txt,1,16,43.4,75.49,1.63,20.23,16,12.5,93.75,81.25,75,12.5,6.25,0,0,6.25,0,0,6.25,12.5,6.25,0,25,25,0,6.25,6.25,31.25,0,0,0,0,0,0,25,0,25,0,6.25,18.75,0,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,18.75,0,0,0,0,6.25,6.25,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0
127-Attend.txt,1,47,67.32,91.15,42.1,20.23,23.5,44.68,85.11,57.45,44.68,10.64,6.38,0,0,6.38,0,0,4.26,8.51,2.13,0,14.89,8.51,2.13,6.38,0,12.77,6.38,4.26,2.13,0,0,2.13,12.77,0,12.77,8.51,2.13,0,2.13,0,2.13,0,0,0,0,0,0,0,0,0,0,0,10.64,4.26,0,0,0,0,4.26,6.38,0,0,0,0,2.13,0,0,2.13,12.77,2.13,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,8.51,0,0,6.38,2.13,0,0,0,2.13,8.51,0,0,0,0,0,0,23.4,4.26,19.15,0,0,0,0,0
128-Attend.txt,1,15,22.17,99,1,97.84,7.5,46.67,80,53.33,53.33,6.67,6.67,0,0,6.67,0,0,0,13.33,6.67,0,6.67,20,6.67,6.67,0,20,0,0,0,0,0,0,13.33,0,13.33,0,0,6.67,0,0,0,0,6.67,6.67,0,6.67,6.67,0,0,0,0,0,13.33,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,6.67,6.67,0,0,6.67,6.67,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,0,40,6.67,26.67,0,6.67,0,0,0
129-Attend.txt,1,23,89.52,40.06,4.38,99,23,39.13,82.61,52.17,47.83,0,0,0,0,0,0,0,0,8.7,8.7,0,17.39,13.04,0,13.04,0,13.04,4.35,0,8.7,4.35,0,4.35,4.35,0,4.35,0,4.35,0,0,0,0,0,8.7,8.7,0,0,0,0,0,0,0,0,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,4.35,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,8.7,0,0,0,0,0,4.35,4.35,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0
