Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1103L-Miller-Spring-2013-INDEX-10.txt,1,2201,91.12,64.74,21.22,32.17,19.83,25.17,76.74,49.2,39.3,5.59,3.5,0.18,0.18,2.5,0.05,0.32,2.09,12.49,7.13,7.5,12.99,5.86,1.82,4.86,0.77,9.95,4.23,3.68,3.41,0.36,2.14,0.95,11.09,1,10,2.41,2.54,0.86,2.59,0.55,3.18,0,1.5,1.18,0.32,0.14,0.05,0.05,0,0,0.05,0,10.36,4.32,0.32,0.14,0.09,1.09,1.54,5.63,0,0.05,0,0.05,0.68,0,0,0.68,9.9,0.14,0.41,8.95,0.55,0.05,0.68,0.27,0.23,0,0,0,0,0.27,0,0.27,0.05,0.73,0.5,0.59,0,0.45,0.18,0.23,3.23,5,0.09,0.5,4.09,0.32,0,0,4.27,2,2.45,1.64,0.09,0.09,0,0,0,22.49,5.41,3.95,0.05,0.23,0.27,12.59,0
1104-Andrews-Spring-2017-INDEX-12.txt,1,3458,75.77,87.69,48.83,41.09,17.12,21.31,89.01,61.19,48.93,10.06,6.97,0.4,1.1,4.8,0,0.58,3.09,12.75,5.99,5.03,14.34,8.36,2.92,5.21,1.13,15.38,5.38,4.25,4.08,1.85,1.76,0.61,14.6,0.72,13.74,4.51,2.37,1.33,3.7,0.26,3.96,0.03,2.46,1.94,0.52,0.43,0.26,0.14,0.03,0,0.06,0,15.1,5.7,1.24,0.35,0.09,0.52,2.75,8.96,0,0,0,0,1.45,0.03,0,1.42,10.53,0.23,0.03,9.83,0.55,0.03,0.17,0.12,0.09,0,0,0,0,0.06,0,0.93,0.03,0.98,0.06,0.38,0,0.58,0.09,0.35,4.19,6.33,0.61,0.75,4.57,0.38,0.14,0.06,5.09,1.79,3.04,3.7,0.14,0.09,0.06,0,0,18.1,5.93,3.38,0.32,0.12,0.32,8.04,0
1104-Lemons-Spring 2011-INDEX-13.txt,1,2740,77.64,84.58,35.89,47.97,18.64,22.59,85.55,61.75,50.18,12.08,8.36,2.08,0.8,5.11,0,0.18,3.72,13.76,6.93,3.98,15.07,8.21,1.97,5.4,0.88,14.6,4.78,3.69,3.58,1.28,1.75,0.58,13.07,0.4,12.55,4.53,2.01,1.42,2.55,0.18,2.63,0,2.55,2.19,0.36,0.47,0.33,0.07,0,0,0.04,0,12.3,4.05,0.66,0.4,0.04,0.22,1.28,8.1,0.11,0.11,0,0.07,0.51,0,0,0.51,8.98,0.07,0.18,8.47,0.36,0.04,0.51,0.26,0.18,0,0,0,0,0,0.04,0.36,0.11,0.51,0.15,0.15,0,0.33,0.04,0.62,4.16,5.73,0.44,0.84,4.01,0.69,0.07,0.11,3.47,1.72,3.54,3.36,0.11,0.07,0.04,0,0,15.11,5.18,3.21,0.58,0.22,0.77,5.15,0
1104-Meyers-Spring-2022-INDEX-17.txt,1,4427,76.15,85.81,51.61,46.89,18.84,25.03,86.15,59.14,45.92,9.4,6.8,0.9,0.47,5.06,0,0.32,2.6,10.8,5.13,4.36,14.19,7.7,2.73,6.08,0.59,14.66,5.49,3.59,3.05,1.11,1.38,0.68,13.19,0.61,12.51,4.02,2.1,1.33,3.73,0.2,3.32,0.05,2.91,2.33,0.56,0.75,0.41,0.27,0.02,0,0.11,0,13.96,5.49,1.38,0.41,0.11,0.41,1.99,8.06,0,0.14,0,0.07,1.6,0.05,0,1.56,9.33,0.14,0.16,8.67,0.47,0.02,1.69,1.4,0.63,0.11,0.2,0,0.09,0,0.05,0.88,0.05,0.88,0.14,0.23,0,0.38,0.09,0.36,4.45,6.96,0.56,0.72,5.13,0.61,0.02,0.07,5.58,1.69,3.34,2.67,0.23,0.23,0,0,0,16.78,4.88,3.84,0.36,0.54,0.34,6.82,0
1104L-Lemons-Spring-2010-INDEX-14.txt,1,2242,91.46,65.81,11.67,29.22,22.88,23.73,74.4,46.65,36.93,5.04,3.43,0.09,0.18,2.63,0.04,0.27,1.61,12.22,6.91,10.79,12.13,5.44,1.52,4.77,0.76,8.97,4.42,4.06,2.54,0.36,1.61,0.62,8.74,0.71,7.94,1.52,2.05,0.71,1.87,0.45,2.77,0,1.56,1.12,0.45,0.13,0.04,0.04,0,0,0.04,0,9.28,3.93,0.27,0.36,0.09,1.12,1.12,5.17,0,0.04,0.13,0.04,0.58,0,0,0.58,8.43,0.18,0.31,7.63,0.36,0.04,0.45,0.18,0.04,0.04,0,0,0,0.04,0,0.18,0.04,0.8,0.54,0.58,0,0.31,0.22,0.31,3.3,3.84,0.09,0.49,3.08,0.13,0,0.04,4.37,1.69,2.05,1.69,0.04,0.04,0,0,0,26.32,4.82,5.13,0.09,0,0.36,15.92,0
1104L-Martin-Spring-2021-INDEX-15.txt,1,2308,88.28,66.54,17.02,39.83,24.29,28.9,78.16,52.21,39.95,4.85,3.25,0.09,0.74,2.17,0,0.17,1.6,11.09,6.8,5.11,12.65,7.41,1.39,5.98,0.69,13,4.68,3.21,3.77,1.3,1.6,0.91,11.48,0.61,10.88,2.04,2.3,1.3,2.95,0.56,3.21,0,2.04,1.69,0.35,0.17,0.04,0.13,0.09,0.04,0,0,11.7,5.98,1.17,0.52,0.13,0.61,2.47,5.59,0,0,0,0.26,0.91,0.04,0,0.87,10.01,0.04,0.13,9.66,0.26,0,1.65,0.78,0.22,0.17,0.17,0,0,0.17,0.04,1.13,0.04,0.56,0.69,0.17,0,0.3,0.22,0.48,2.73,5.63,0.17,0.43,4.64,0.3,0.04,0,3.77,1.69,2.47,2.56,0.35,0.35,0.04,0,0,16.77,4.33,2.21,0.04,0.04,0.35,9.79,0
1104L-Miller-Spring-2013-INDEX-16.txt,1,2192,90.2,71.89,17.64,30.13,19.57,24.09,75.55,47.35,36.95,5.34,3.7,0.14,0.14,2.87,0.05,0.27,1.64,11.77,6.66,9.08,12.04,5.7,1.64,4.79,0.73,9.31,4.38,4.38,3.97,1.6,1.69,0.73,9.53,0.68,8.76,1.32,2.37,1,2.14,0.55,3.06,0,1.64,1.19,0.46,0.18,0.05,0.09,0,0,0.09,0,11.18,5.2,1.51,0.14,0.09,1.19,1.14,6.43,0,0.05,0,0.05,0.59,0,0,0.59,8.26,0.18,0.36,7.39,0.41,0.05,0.41,0.14,0.05,0.05,0,0,0,0.05,0,0.18,0.05,0.82,0.5,0.5,0,0.32,0.27,0.23,3.42,3.74,0.09,0.5,3.06,0.09,0,0,5.98,1.78,2.05,1.6,0.14,0.14,0,0,0,25.55,5.43,2.92,0.09,0.05,0.36,16.7,0
1107-Armstrong-Fall-2021-INDEX-18.txt,1,1598,87.13,61.26,30.24,45.67,21.89,27.53,79.79,46.31,36.3,4.26,2.94,0.31,0.13,1.94,0,0.19,1.31,9.51,5.44,10.58,12.02,7.7,1,5.32,0.81,11.33,5.13,3.32,2.69,1,1,0.75,11.26,0.81,10.45,2.69,1.81,1.69,2.38,0.38,2.57,0.06,2.07,1.88,0.19,0.06,0,0,0,0,0,0,11.2,5.63,1.5,0.25,0,0.38,2.13,5.19,0,0.06,0,0.06,1.06,0.06,0,1,10.2,0,0.19,9.95,0.31,0,0.81,0.63,0.44,0,0,0,0.19,0,0,0.5,0.13,0.5,0.31,0.13,0,0.31,0.13,0.31,1.94,4.63,0.06,0.75,4.01,0.06,0,0,6.63,1.63,2.69,2.75,0.75,0.75,0,0,0,23.84,5.38,2.82,0,0.13,0,15.52,0
1107-Barstow-Spring-2010-INDEX-19.txt,1,1764,89.75,62.57,4.83,28.57,12.97,23.75,73.36,40.42,30.73,3.23,2.44,0.06,0.11,1.98,0,0.11,0.79,9.98,5.95,16.38,8.62,5.95,0.85,3.8,0.57,8.39,4.48,6.12,1.3,0.23,0.68,0.4,6.12,0.79,5.33,1.3,1.13,1.02,1.53,0.57,1.08,0,1.19,0.91,0.28,0.11,0,0,0,0,0,0,6.12,2.66,0.4,0.74,0,0.51,0.79,3.4,0,0,0.4,0.06,0.91,0,0,0.91,9.58,0.11,0.79,8.16,0.57,0,0.51,0.28,0.11,0.06,0,0,0.11,0,0.06,0.4,0.06,0.34,0.57,0.57,0,0.28,0.17,0.11,2.38,5.27,0.17,0.74,4.02,0.4,0,0.06,2.78,1.47,1.76,1.87,0,0,0,0,0,111.51,9.18,4.08,0.06,0.06,0.06,98.07,0
1107-Dees-INDEX-20.txt,1,772,93.44,47.74,13.01,21.82,25.73,27.59,74.48,44.04,36.01,2.98,1.55,0,0.13,1.04,0,0.13,1.42,9.84,5.83,12.69,13.21,6.09,0.78,5.44,0.39,9.2,4.27,3.24,2.33,0.91,0.91,0.52,9.46,0.65,8.81,2.07,1.42,1.3,2.2,0.26,3.24,0,2.72,1.42,1.3,0.52,0,0.26,0.26,0,0,0,7.64,3.76,1.17,0.13,0.39,0.65,1.17,3.76,0,0.13,0,0.13,1.3,0,0,1.3,8.81,0,0.26,8.55,0.26,0,0.91,0.91,0.78,0.13,0,0,0,0,0,0.78,0,0.78,0,0.39,0,0.26,0.39,0.13,1.04,3.76,0.13,0.26,3.5,0.13,0,0,4.15,1.3,3.11,1.68,0.13,0.13,0,0,0,22.93,5.05,3.37,0,0,0.13,14.38,0
