File,Polarity,Subjectivity
1-Attend.txt,0.25,0.288461538
2-Attend.txt,0.16375,0.57375
3-Attend.txt,0.00625,0.391666667
4-Attend.txt,0.209375,0.520833333
5-Attend.txt,0.00625,0.391666667
6-Attend.txt,0.015555556,0.288333333
7-Attend.txt,0.015555556,0.288333333
9-Attend.txt,0.011485507,0.298478261
10-Attend.txt,0.013953488,0.271511628
11-Attend.txt,-0.1,0.4
12-Attend.txt,0.0025,0.255
13-Attend.txt,0.35,0.620535714
14-Attend.txt,0.010465116,0.332170543
15-Attend.txt,0.011485507,0.298478261
16-Attend.txt,0.026923077,0.320512821
17-Attend.txt,0.138636364,0.418939394
19-Attend.txt,-0.095,0.43
21-Attend.txt,0.4,0.4
22-Attend.txt,0.111029412,0.539845938
23-Attend.txt,0.011485507,0.298478261
24-Attend.txt,0.013643791,0.336251167
25-Attend.txt,0.013416667,0.32397619
27-Attend.txt,0.020436508,0.471428571
28-Attend.txt,0.122916667,0.300320513
29-Attend.txt,0.051096491,0.443859649
31-Attend.txt,0.011485507,0.298478261
34-Attend.txt,0.009722222,0.461111111
35-Attend.txt,-0.001904762,0.328809524
36-Attend.txt,-0.001904762,0.328809524
37-Attend.txt,-0.001904762,0.328809524
38-Attend.txt,-0.025,0.325
40-Attend.txt,0,0
42-Attend.txt,-0.07,0.375384615
45-Attend.txt,-0.004166667,0.579166667
51-Attend.txt,0.083333333,0.2
54-Attend.txt,-0.060185185,0.306481481
55-Attend.txt,0.031227106,0.395879121
56-Attend.txt,0.15,0.525
58-Attend.txt,-0.05,0.7
60-Attend.txt,-0.145833333,0.470833333
61-Attend.txt,-0.3,0.4
62-Attend.txt,0,0.75
64-Attend.txt,0,0
68-Attend.txt,-0.020952381,0.40547619
70-Attend.txt,0.175,0.406730769
71-Attend.txt,0.2325,0.470833333
72-Attend.txt,0.108333333,0.689285714
73-Attend.txt,0,0.076923077
74-Attend.txt,0.5,0.5
75-Attend.txt,-0.027156576,0.433333333
76-Attend.txt,0.15,0.4
77-Attend.txt,0.304,0.49
78-Attend.txt,0.158928571,0.403571429
79-Attend.txt,0.0375,0.4625
81-Attend.txt,0.175,0.4625
82-Attend.txt,0.095833333,0.4375
83-Attend.txt,0.135952381,0.502857143
87-Attend.txt,-0.108333333,0.340384615
91-Attend.txt,0.110714286,0.339285714
92-Attend.txt,-0.018421053,0.349122807
93-Attend.txt,0.163461538,0.455769231
94-Attend.txt,0.090277778,0.369444444
95-Attend.txt,0.125,0.163461538
98-Attend.txt,-0.1,0.4
100-Attend.txt,-0.175,0.5
101-Attend.txt,-0.1,0.4
103-Attend.txt,0.25,0.625
105-Attend.txt,-0.065909091,0.440151515
106-Attend.txt,0,1
107-Attend.txt,0.458333333,0.491666667
108-Attend.txt,-0.01007326,0.413369963
109-Attend.txt,0.0984375,0.384615385
110-Attend.txt,0.114285714,0.43956044
112-Attend.txt,-0.044444444,0.530769231
115-Attend.txt,0.26,0.45
116-Attend.txt,0.066666667,0.55
120-Attend.txt,-0.041666667,0.141666667
121-Attend.txt,-0.041666667,0.141666667
122-Attend.txt,-0.035714286,0.167857143
124-Attend.txt,0,0
125-Attend.txt,0.5,0.5
126-Attend.txt,0,0
127-Attend.txt,0.15,0.475
128-Attend.txt,-0.05,0.7
129-Attend.txt,0.433333333,0.733333333
130-Attend.txt,-0.05,0.7
132-Attend.txt,0.167508418,0.532112795
133-Attend.txt,0.204545455,0.59
134-Attend.txt,0.55,0.375
135-Attend.txt,0.033333333,0.783333333
137-Attend.txt,-0.079166667,0.419505495
138-Attend.txt,0.15,0.5
140-Attend.txt,0.038541667,0.285416667
